class,gender,age,onset_duration_positive,onset_duration_negative,onset_duration_full,onset_duration_ratio_positive,onset_duration_ratio_negative,onset_maximum_amplitude,onset_mean_amplitude_full,onset_mean_amplitude_positive,onset_mean_amplitude_negative,onset_std_amplitude,onset_total_amplitude_positive,onset_total_amplitude_negative,onset_net_amplitude,onset_amplitude_ratio_positive,onset_amplitude_ratio_negative,onset_maximum_speed_positive,onset_maximum_speed_negative,onset_mean_speed_positive,onset_mean_speed_negative,onset_maximum_acceleration_positive,onset_maximum_acceleration_negative,onset_mean_acceleration_positive,onset_mean_acceleration_negative,onset_net_amplitude_duration_ratio,onset_left_right_amplitude_difference,apex_duration_positive,apex_duration_negative,apex_duration_full,apex_duration_ratio_positive,apex_duration_ratio_negative,apex_maximum_amplitude,apex_mean_amplitude_full,apex_mean_amplitude_positive,apex_mean_amplitude_negative,apex_std_amplitude,apex_total_amplitude_positive,apex_total_amplitude_negative,apex_net_amplitude,apex_amplitude_ratio_positive,apex_amplitude_ratio_negative,apex_maximum_speed_positive,apex_maximum_speed_negative,apex_mean_speed_positive,apex_mean_speed_negative,apex_maximum_acceleration_positive,apex_maximum_acceleration_negative,apex_mean_acceleration_positive,apex_mean_acceleration_negative,apex_net_amplitude_duration_ratio,apex_left_right_amplitude_difference,offset_duration_positive,offset_duration_negative,offset_duration_full,offset_duration_ratio_positive,offset_duration_ratio_negative,offset_maximum_amplitude,offset_mean_amplitude_full,offset_mean_amplitude_positive,offset_mean_amplitude_negative,offset_std_amplitude,offset_total_amplitude_positive,offset_total_amplitude_negative,offset_net_amplitude,offset_amplitude_ratio_positive,offset_amplitude_ratio_negative,offset_maximum_speed_positive,offset_maximum_speed_negative,offset_mean_speed_positive,offset_mean_speed_negative,offset_maximum_acceleration_positive,offset_maximum_acceleration_negative,offset_mean_acceleration_positive,offset_mean_acceleration_negative,offset_net_amplitude_duration_ratio,offset_left_right_amplitude_difference
1,0,10,1.8,0.0,1.8,1.0,0.0,0.04604546912597696,0.009138577273886415,0.009138577273886415,0.0,0.010796653353969513,0.4112359773248887,0.0,0.4112359773248887,1.0,0.0,2.302273456298848,0.0,0.45692886369432073,0.0,1.1664119567936337,0.0,-0.002944913073761228,0.0,0.45692886369432073,0.6129180014185547,0.92,0.04,0.96,0.9583333333333334,0.041666666666666664,0.004297894793918955,0.0007052543190779893,0.0014856527010115306,0.0017283134456776983,0.0011130208740462457,0.0341700121232652,0.0017283134456776983,0.032441698677587505,0.9518553186454766,0.04814468135452347,0.21489473969594775,0.08641567228388491,0.07428263505057653,0.08641567228388491,0.21489473969594775,-0.08641567228388491,0.0003047833147756302,-0.08641567228388491,0.06758687224497396,0.2102077836733128,0.2,1.36,1.56,0.1282051282051282,0.8717948717948718,0.0007467190120618028,-0.008836439397997702,0.0007042787889057322,0.012058753125071264,0.016932814779483513,0.0035213939445286613,0.409997606252423,-0.4064762123078943,0.008515676287792059,0.991484323712208,0.03733595060309014,3.5746411661794317,0.03521393944528661,0.6029376562535633,0.11351581928273347,2.195500446543114,0.04254641780357494,-0.037019513783682644,-0.521123349112685,0.3875549792555063
1,0,9,0.96,0.04,1.0,0.96,0.04,0.020732155522380058,0.002254044040958933,0.003801553533722172,0.0010755231709748125,0.004109792369838501,0.09123728480933213,0.0010755231709748125,0.09016176163835732,0.988349144669023,0.01165085533097697,1.036607776119003,0.05377615854874063,0.19007767668610862,0.05377615854874063,0.8049339157662427,-0.05377615854874063,0.0024440780499403254,-0.05377615854874063,0.18032352327671464,0.045291200915841046,0.52,0.08,0.6,0.8666666666666667,0.13333333333333333,0.0036564549052459094,0.0006366944135485522,0.0012699888977452795,0.001251289286310242,0.0013192499785155052,0.016509855670688633,0.002502578572620484,0.01400727709806815,0.8683714804430582,0.1316285195569418,0.18282274526229547,0.07875948013248979,0.06349944488726397,0.0625644643155121,0.18282274526229547,-0.07875948013248979,0.009026230375239927,-0.08574918856477931,0.04669092366022717,0.6098584565014714,0.0,1.0,1.0,0.0,1.0,0.0,-0.005146543512934326,0.0,0.005558266993969072,0.006074904779929386,0.0,0.1389566748492268,-0.1389566748492268,0.0,1.0,0.0,1.0727682432604135,0.0,0.2779133496984536,0.011108816382993103,0.8489781509522232,0.005971711118413214,-0.0009811660787334188,-0.2779133496984536,1.1012495694010915
0,1,10,2.16,0.0,2.16,1.0,0.0,0.008649750513653687,0.0018222660125807985,0.0018897573463800873,0.0,0.0019678342909704737,0.10204689670452471,0.0,0.10204689670452471,1.0,0.0,0.43248752568268434,0.0,0.0944878673190044,0.0,0.2679892004083695,0.0,6.194506461039543e-05,0.0,0.09448786731900435,0.4435892508808971,1.84,1.76,3.6,0.5111111111111111,0.4888888888888889,0.0018806234954816814,-9.756544947380272e-05,0.0005736674449401282,0.0009057439657870607,0.0008029790282412448,0.026388702467245895,0.03985273449463067,-0.013464032027384776,0.39837152811816545,0.6016284718818345,0.09403117477408407,0.17797185523338865,0.028683372247006407,0.045287198289353035,0.13530530050918088,0.15824779555921875,0.008770189966260106,-0.01853699242868613,-0.0074800177929915425,0.21468959747727356,0.0,1.24,1.24,0.0,1.0,0.0,-0.0026640823826844795,0.0,0.00326564937232291,0.0033250914967065275,0.0,0.10123513054201022,-0.10123513054201022,0.0,1.0,0.0,0.8022009306343003,0.0,0.16328246861614554,0.11880646003218365,0.49803342938553596,0.0458110981141509,-0.01005657257475497,-0.1632824686161455,0.2560808605233537
1,0,11,1.08,0.0,1.08,1.0,0.0,0.035412740770094264,0.0065754240653004515,0.006818958289941209,0.0,0.007761146348284539,0.18411187382841265,0.0,0.18411187382841265,1.0,0.0,1.7706370385047132,0.0,0.34094791449706047,0.0,1.7569640595197167,0.0,0.02040465543392853,0.0,0.34094791449706047,0.025151779101134534,0.52,0.16,0.68,0.7647058823529411,0.23529411764705882,0.008879549938878517,0.0003354621119715757,0.0020614034065252152,0.00242241914356936,0.0018480077730834493,0.0267982442848278,0.00968967657427744,0.01710856771055036,0.7344415262329351,0.26555847376706493,0.44397749694392585,0.31271193674217157,0.10307017032626077,0.12112095717846799,0.360640100403542,-0.026622764978068147,0.009953501385560953,-0.11446526593395095,0.050319316795736355,1.5554623807640429,0.0,1.12,1.12,0.0,1.0,0.0,-0.008612048028806232,0.0,0.008919621172692169,0.0167941925356693,0.0,0.24974939283538072,-0.24974939283538072,0.0,1.0,0.0,3.5176480840154456,0.0,0.4459810586346084,0.005116628694473713,2.193233238872855,0.005116628694473713,0.01584808013063813,-0.44598105863460846,0.6086439482393313
0,0,10,1.96,0.0,1.96,1.0,0.0,0.014274561464515223,0.002317914849967072,0.002412523619353483,0.0,0.002593327819967586,0.11821365734832068,0.0,0.11821365734832068,1.0,0.0,0.7137280732257612,0.0,0.12062618096767416,0.0,0.4573908360499035,0.0,-0.0010927958997088982,0.0,0.12062618096767416,0.42131898382996125,1.88,2.08,3.96,0.47474747474747475,0.5252525252525253,0.003282499281382245,-0.00033153586845275875,0.0008202010541046773,0.0017678216223810383,0.002072360530442425,0.038549449542919834,0.091926724363814,-0.05337727482089416,0.295452023068024,0.704547976931976,0.16412496406911226,0.9865013173645742,0.04101005270523386,0.0883910811190519,0.9865013173645742,0.3844582184838852,0.015490647264195481,-0.032176625851133414,-0.026958219606512204,0.130558514464825,0.52,3.24,3.76,0.13829787234042554,0.8617021276595744,0.0013216541900875067,-0.00062620214460497,0.0005001943083866845,0.0011548719025817004,0.001086858294272398,0.006502526009026899,0.09354462410911774,-0.08704209810009084,0.06499461505248409,0.935005384947516,0.06608270950437534,0.2510819378871598,0.025009715419334225,0.05774359512908502,0.06608270950437534,0.18308403797087092,0.008441017187793075,-0.007105473650290128,-0.04629898835111215,0.06759656508765587
0,1,34,1.2,0.0,1.2,1.0,0.0,0.013029624171301046,0.003350368370575437,0.003350368370575437,0.0,0.003360319112424738,0.1005110511172631,0.0,0.1005110511172631,1.0,0.0,0.6514812085650523,0.0,0.16751841852877186,0.0,0.5231219502964513,0.0,-0.012436649647493615,0.0,0.16751841852877186,0.12084646964411666,2.36,1.64,4.0,0.59,0.41,0.012055947728050076,0.00046143469704929273,0.0024542249219161407,0.0017084597431967531,0.0023660554627888313,0.1447992703930523,0.07004684947106687,0.07475242092198542,0.6739673515380754,0.3260326484619246,0.6027973864025038,0.3956014096589744,0.12271124609580703,0.08542298715983765,0.3956014096589744,0.1405956772470851,0.021324549347230087,-0.06256025098656053,0.03737621046099271,0.20357589871597356,2.76,2.8,5.56,0.49640287769784175,0.5035971223021583,0.026139889721954357,-0.0007335794913721619,0.0038267855215152117,0.005637505006411349,0.00698988746652033,0.2640482009845496,0.39462535044879443,-0.1305771494642448,0.40087870601446274,0.5991212939855373,1.3069944860977178,2.1964893985672305,0.19133927607576057,0.2818752503205675,1.277506863257516,1.6349774536471793,0.032581452781130074,-0.05136202242921409,-0.04697019764900892,0.04332531139032783
1,1,28,0.84,0.0,0.84,1.0,0.0,0.028405946754564537,0.008824063027692867,0.009664449982711236,0.0,0.009037655474713654,0.20295344963693596,0.0,0.20295344963693596,1.0,0.0,1.4202973377282269,0.0,0.48322249913556176,0.0,1.1438438124821204,0.0,-0.0050557175895653205,0.0,0.48322249913556176,1.381058877386566,0.16,1.16,1.32,0.12121212121212122,0.8787878787878788,0.002467507335839003,-0.00038042725595085764,0.0010365775338988248,0.0008120034547961738,0.001005475621906198,0.004146310135595299,0.02354810018908904,-0.01940179005349374,0.14971649827473116,0.8502835017252689,0.12337536679195016,0.2410690079871547,0.05182887669494124,0.04060017273980869,0.2410690079871547,0.16612790774535036,0.021214047391908738,-0.015361896387244259,-0.029396651596202635,0.15210230535261188,0.0,1.6,1.6,0.0,1.0,0.0,-0.0037953105549899577,0.0,0.003985076082739456,0.006077413278100448,0.0,0.15940304330957822,-0.15940304330957822,0.0,1.0,0.0,1.2546394244951464,0.0,0.19925380413697277,0.163658215701451,0.9209510480353289,0.11888853408511812,-0.007040914929296607,-0.19925380413697277,0.4166920069423433
1,0,10,3.12,0.0,3.12,1.0,0.0,0.024865974030312543,0.002582110930657103,0.003078670725014238,0.0,0.0038924692783434676,0.24013631655111056,0.0,0.24013631655111056,1.0,0.0,1.2432987015156272,0.0,0.15393353625071188,0.0,0.7924228394291966,0.0,0.0028353685278647216,0.0,0.1539335362507119,0.27632993473102074,1.36,0.48,1.84,0.7391304347826086,0.2608695652173913,0.01299174364369704,0.0003998273316294766,0.0031742122915849455,0.006361404892929958,0.005124856921148804,0.10792321791388815,0.0763368587151595,0.03158635919872865,0.5857113482654148,0.4142886517345852,0.649587182184852,1.6759245755528562,0.1587106145792473,0.31807024464649797,0.6482183343751835,1.2222394728406638,0.006930628331868126,-0.06284580847484335,0.03433299912905288,0.6855132971965219,0.0,2.12,2.12,0.0,1.0,0.0,-0.004091435826622504,0.0,0.004477420338568023,0.007865668672858166,0.0,0.23730327794410522,-0.23730327794410522,0.0,1.0,0.0,1.9407606009358536,0.0,0.22387101692840117,0.04790991097692321,1.247981655750685,0.009581982195384642,-1.9838887608771326e-05,-0.22387101692840114,0.5955846504415603
0,0,55,1.2,0.0,1.2,1.0,0.0,0.022509362575997227,0.004539984559284405,0.004539984559284405,0.0,0.0053152221761807224,0.13619953677853214,0.0,0.13619953677853214,1.0,0.0,1.1254681287998614,0.0,0.2269992279642202,0.0,1.123897270742591,0.0,0.0004523491657628932,0.0,0.22699922796422023,1.0769318524752867,0.32,0.48,0.8,0.4,0.6,0.004712628761452287,-0.0009404572215569045,0.00183816294057218,0.0035765850142737143,0.0034577874570139873,0.01470530352457744,0.04291902017128457,-0.028213716646707132,0.2551926440332943,0.7448073559667057,0.23563143807261433,0.6287311802207096,0.091908147028609,0.17882925071368572,0.210166614631091,0.18751967602379516,0.002456485454961877,-0.05607241846074621,-0.07053429161676783,0.23331105825161913,0.0,1.24,1.24,0.0,1.0,-0.00017070603492796987,-0.002083328764717772,0.0,0.002083328764717772,0.0023175843663480232,0.0,0.06458319170625093,-0.06458319170625093,0.0,1.0,0.0,0.48162160197399717,0.0,0.10416643823588861,0.0,0.2977358537628094,0.0,-0.010334079689089023,-0.1041664382358886,0.5188069434773471
1,0,11,1.44,0.0,1.44,1.0,0.0,0.0749709400434384,0.005030027607282986,0.005030027607282986,0.0,0.012516951089404841,0.1810809938621875,0.0,0.1810809938621875,1.0,0.0,3.7485470021719203,0.0,0.25150138036414926,0.0,3.598927873681479,0.0,0.009129742826391903,0.0,0.2515013803641493,0.3336148978733079,0.24,0.76,1.0,0.24,0.76,0.002482920185277959,-0.00038156766556055803,0.0012548958848484133,0.0012799132944081597,0.0011720861992276,0.00752937530909048,0.024318352593755033,-0.016788977284664552,0.23641797405640827,0.7635820259435917,0.12414600926389796,0.17373917463726074,0.06274479424242067,0.06399566472040798,0.12414600926389796,0.15112232587743968,0.02148417498690584,-0.03072875023373132,-0.033577954569329105,0.9465874748584576,0.72,3.32,4.04,0.1782178217821782,0.8217821782178217,0.05175842955881571,-0.0011094420111607006,0.0043152333398009945,0.0029408494191629276,0.008140424007821397,0.0776742001164179,0.244090501790523,-0.1664163016741051,0.24140062491653427,0.7585993750834658,2.5879214779407853,3.641480284404608,0.2157616669900497,0.14704247095814638,2.2825640080313736,3.391772386861436,0.019414681322969127,-0.01530193223333452,-0.08238430775945796,0.008766854545431042
