class,gender,age,offset_duration_positive,offset_duration_negative,offset_duration_full,offset_duration_ratio_positive,offset_duration_ratio_negative,offset_maximum_amplitude,offset_mean_amplitude_full,offset_mean_amplitude_positive,offset_mean_amplitude_negative,offset_std_amplitude,offset_total_amplitude_positive,offset_total_amplitude_negative,offset_net_amplitude,offset_amplitude_ratio_positive,offset_amplitude_ratio_negative,offset_maximum_speed_positive,offset_maximum_speed_negative,offset_mean_speed_positive,offset_mean_speed_negative,offset_maximum_acceleration_positive,offset_maximum_acceleration_negative,offset_mean_acceleration_positive,offset_mean_acceleration_negative,offset_net_amplitude_duration_ratio,offset_left_right_amplitude_difference
0,1,22,1.24,1.16,2.4,0.5166666666666667,0.48333333333333334,0.020384236028187036,0.00016332800017154018,0.00719948498062533,0.007358081185830786,0.009004137269696483,0.22318403439938522,0.21338435438909284,0.009799680010292383,0.5112235336569919,0.4887764663430082,1.0192118014093519,0.9818715310236314,0.3599742490312665,0.3679040592915393,1.8799451958757547,0.3182193561879195,0.5083475350955768,-0.546976682573054,0.008166400008576985,0.010195898890736466
1,0,10,0.52,0.36,0.88,0.5909090909090909,0.4090909090909091,0.018337933720868727,0.0005681256526719747,0.0058371909813624,0.007042746488769751,0.008342285917178966,0.0758834827577112,0.06338471839892776,0.012498764358783443,0.5448730013563029,0.4551269986436971,0.9168966860434363,0.6824320056076277,0.29185954906812,0.35213732443848755,1.599328691651064,-0.11078093091100999,0.39102865644772644,-0.5629670349193414,0.028406282633598734,0.004328938104915959
0,0,31,2.04,2.24,4.28,0.4766355140186916,0.5233644859813084,0.02461114399019578,0.00042429308025749733,0.008589944427915797,0.007004705592069572,0.009402740541843445,0.43808716582370555,0.392263513155896,0.04582365266780952,0.5275929518863771,0.47240704811362283,1.230557199509789,1.1574974591402811,0.42949722139578994,0.3502352796034786,1.5422272622482012,0.9045974943322649,0.42931692557954815,-0.40302626651974993,0.021412921807387627,0.0003111811062888442
1,1,64,0.84,1.0,1.84,0.45652173913043476,0.5434782608695652,0.013936529711467138,0.00015094634470831262,0.005992591422917962,0.00474999766719946,0.0066942405712151765,0.1258444198812772,0.11874994167998651,0.007094478201290694,0.5145025383169222,0.48549746168307784,0.6968264855733569,0.7258734857273144,0.2996295711458981,0.23749988335997305,1.1141459157941056,0.27692974757841243,0.4229540752367963,-0.38905135841952015,0.0077113893492290145,0.03617384042632001
1,0,10,1.72,1.12,2.84,0.6056338028169014,0.39436619718309857,0.032550991279903047,0.002550837469501054,0.010974285305257469,0.010385171706839154,0.013695592916115593,0.47189426812607116,0.2907848077914963,0.18110946033457487,0.6187324171157343,0.38126758288426565,1.6275495639951523,2.109162816066558,0.5487142652628735,0.5192585853419576,3.356453132350766,1.0036166611099433,0.5901176759599529,-0.8962258926636351,0.12754187347505272,0.05186997285474426
1,0,43,1.8,1.68,3.48,0.5172413793103449,0.4827586206896552,0.019289234917622966,0.0005992146973818824,0.0056854392893840216,0.004836044634587508,0.006500840536362677,0.25584476802228096,0.20311387465267533,0.052730893369605625,0.5574462363997258,0.4425537636002742,0.9644617458811483,0.763483389342813,0.28427196446920105,0.2418022317293754,1.212454932815231,0.5794910774762767,0.3590653152209067,-0.40497721438228396,0.030305111131957253,0.011825077867118153
1,1,32,0.92,0.48,1.4,0.6571428571428571,0.34285714285714286,0.030028055444286206,0.0035505359018763233,0.0090883480359604,0.006767726029961799,0.010013583737803249,0.2090320048270892,0.08121271235954158,0.1278192924675476,0.7201922806838863,0.27980771931611365,1.5014027722143104,0.6144083341014364,0.45441740179801987,0.3383863014980899,1.0316614655947243,0.17936401440669453,0.22265787426714143,-0.41670300961455903,0.18259898923935372,0.001959640343092214
1,1,56,0.72,0.76,1.48,0.4864864864864865,0.5135135135135135,0.012584346208697028,0.000552502088417079,0.006478659963903197,0.005061752740990823,0.006816322647539709,0.11661587935025755,0.09617330207882563,0.020442577271431922,0.5480348134574804,0.4519651865425196,0.6292173104348514,0.7256327688957981,0.32393299819515986,0.2530876370495411,1.2830118020885615,0.308401925413683,0.5319687225036346,-0.4618707474863208,0.02762510442085395,0.0007195403448254524
1,0,10,2.16,1.72,3.88,0.5567010309278351,0.44329896907216493,0.016093537238039163,0.000210042384220676,0.00435773769362399,0.004974267727097361,0.005748917524162707,0.23531783545569546,0.21389351226518655,0.02142432319050891,0.5238465961503503,0.4761534038496497,0.8046768619019582,0.8345646464383877,0.2178868846811995,0.248713386354868,1.463665413148005,0.19103817095164133,0.29116552471378593,-0.39198793966316847,0.011043465562117995,0.01002062512726287
1,0,25,0.96,1.08,2.04,0.47058823529411764,0.5294117647058824,0.03073339420992295,-0.0008974405982867087,0.006531644220528279,0.0075010715483444755,0.00970520125660054,0.1567594612926787,0.20252893180530085,-0.045769470512622146,0.43630538671459307,0.5636946132854069,1.5366697104961475,1.2608954798358516,0.326582211026414,0.37505357741722384,2.1487867587699787,0.20302417513606147,0.5476189329392196,-0.455063286278481,-0.044872029914335435,0.03314715280024999
1,0,31,1.04,0.96,2.0,0.52,0.48,0.009781447339249849,4.7871696633582095e-05,0.0033186029515680634,0.0034914311881593073,0.004008218325324954,0.08628367674076964,0.08379434851582337,0.002489328224946269,0.5073181947555855,0.4926818052444145,0.48907236696249246,0.45994310949473705,0.1659301475784032,0.1745715594079654,0.7129162622036056,0.007773598445008634,0.24447562607993323,-0.2970273748950363,0.002489328224946269,0.018676936126485195
1,0,8,1.88,2.04,3.92,0.47959183673469385,0.5204081632653061,0.014678713008198924,3.2060824824819436e-05,0.0064398944485559596,0.005870683038235265,0.007292927364107055,0.3026750390821301,0.2994048349499985,0.0032702041321316377,0.5027157560592675,0.4972842439407324,0.7339356504099461,0.8475932407753308,0.3219947224277979,0.29353415191176324,1.32795692475757,0.38952771557303617,0.4988877668526912,-0.49203597729749027,0.0016684714959855295,0.001675095093423161
0,1,32,1.04,0.84,1.88,0.5531914893617021,0.44680851063829785,0.03517564562434927,0.00018428694022706846,0.009236212859893468,0.01102285943650276,0.015654222988515556,0.24014153435723024,0.23148004816655798,0.008661486190672252,0.5091826652040838,0.4908173347959162,1.7587822812174636,3.3162759330462683,0.4618106429946734,0.5511429718251379,4.07441069051904,0.2778879422086745,0.48931574614134604,-0.5773948943888458,0.00921434701135346,0.03771954780591426
0,0,9,1.28,1.2,2.48,0.5161290322580645,0.4838709677419355,0.04520605984789153,0.0003571117245965956,0.008848508548029568,0.008688474496245357,0.01199122161734704,0.28315227353694616,0.2606542348873607,0.02249803864958544,0.5206857019004555,0.47931429809954457,2.2603029923945765,1.2534277124357882,0.4424254274014784,0.4344237248122677,3.144707580494316,1.032019151389353,0.5929695503927179,-0.64093652382711,0.01814357955611729,0.0011004843575362873
1,0,10,1.08,1.16,2.24,0.48214285714285715,0.5178571428571429,0.021339630323341935,-0.0014959770733932,0.0054644498497995134,0.008027959969931008,0.009061993223716472,0.14754014594458686,0.23281083912799924,-0.08527069318341238,0.38790525523794905,0.612094744762051,1.0669815161670968,1.8049518099858324,0.27322249248997565,0.40139799849655045,1.4314653055753261,1.104179632634675,0.3981912067414473,-0.4014586409312687,-0.07613454748518962,0.014959327496993215
0,1,12,1.04,1.24,2.28,0.45614035087719296,0.543859649122807,0.019651477499171233,-6.312771749334458e-05,0.007939410532605532,0.006783079503704446,0.008619247991568227,0.20642467384774382,0.21027546461483784,-0.00385079076709402,0.4953794222611713,0.5046205777388286,0.9825738749585616,0.9383888588645792,0.39697052663027654,0.3391539751852224,1.520102193415511,0.3152244080813993,0.5698402632208854,-0.5689824349332216,-0.003377886637801772,0.0009716690901301281
1,1,62,1.08,1.04,2.12,0.5094339622641509,0.49056603773584906,0.04923088028375258,0.0006689524257696414,0.016547216935074296,0.01582001456466211,0.020753643931095078,0.44677485724700583,0.41132037868121485,0.03545447856579098,0.5206588249656456,0.47934117503435436,2.4615440141876292,2.4110414359261556,0.8273608467537145,0.7910007282331055,4.237552966371879,2.365088763240324,1.2406058157589643,-1.257353394014161,0.033447621288482055,0.012321817587494805
0,0,9,1.4,1.08,2.48,0.5645161290322581,0.43548387096774194,0.04491079810516742,9.95558230146546e-05,0.00922912718312249,0.011724011959753129,0.013685411205815826,0.323019451409287,0.31654832291333457,0.0064711284959524384,0.5050589857367392,0.49494101426326076,2.245539905258371,2.3245116401437156,0.46145635915612443,0.5862005979876566,2.4300402658033624,1.2121701176495225,0.47946240360749176,-0.6693081786309205,0.00521865201286487,0.016068283251694106
0,0,11,2.08,1.44,3.52,0.5909090909090909,0.4090909090909091,0.026610882537645243,0.0010161816394844453,0.007561678193367503,0.008381969958375281,0.010081658946531149,0.39320726605511014,0.30175091850151015,0.09145634755359999,0.5657998924150729,0.4342001075849271,1.3305441268822622,1.606385943152993,0.3780839096683752,0.419098497918764,1.7596719198308186,0.8273608330907289,0.3825512388067041,-0.5608699512730476,0.051963833837272724,0.023334632781041167
1,1,17,1.6,1.52,3.12,0.5128205128205128,0.48717948717948717,0.013824833839991696,9.239707817567468e-05,0.005058672883715454,0.0051279671583260135,0.006272628466485776,0.20234691534861818,0.19486275201638853,0.007484163332229649,0.5094209229370948,0.4905790770629051,0.6912416919995847,0.8662034320910241,0.2529336441857727,0.2563983579163008,1.0677092339581196,0.40497235107650326,0.33834632243302715,-0.37702494859673585,0.004797540597583108,0.011515102034693086
0,1,56,1.64,1.32,2.96,0.5540540540540541,0.44594594594594594,0.03206247704332976,0.0005935694901679822,0.00898154192347333,0.009809863851509329,0.01260159031957843,0.3682432188624065,0.32372550709980774,0.04451771176259878,0.5321674304721611,0.46783256952783897,1.6031238521664881,1.6731353777805658,0.4490770961736666,0.4904931925754665,2.9665133510081088,0.48308375573487833,0.615712275690054,-0.7906564311055981,0.030079534974728903,0.005086569868735992
0,1,24,1.96,1.64,3.6,0.5444444444444444,0.45555555555555555,0.02194506672688809,0.0007227330412719122,0.006644406311872217,0.006336761037219379,0.008738805986561713,0.3255759092817386,0.25980720252599465,0.06576870675574392,0.5561757808084369,0.443824219191563,1.0972533363444046,1.6145368992094373,0.33222031559361087,0.316838051860969,1.7660856663685887,0.7259818779072629,0.3819661339321263,-0.4346578481214797,0.036538170419857734,0.002470647926023004
0,1,9,1.24,1.0,2.24,0.5535714285714286,0.44642857142857145,0.01556914314718974,0.0007530342901926743,0.00588813535222637,0.0055843696551214,0.007205982444734757,0.18253219591901745,0.13960924137803501,0.04292295454098244,0.566621287377883,0.43337871262211697,0.778457157359487,0.9463183149191048,0.29440676761131845,0.27921848275607003,1.2562758937449514,0.12867858862638942,0.4507494690907615,-0.5550474261689929,0.0383240665544486,0.00017810480422305756
0,1,24,0.6,0.48,1.08,0.5555555555555556,0.4444444444444444,0.016437433961567965,0.0008021471226130103,0.007823721820187392,0.007974821249354967,0.00993884683972644,0.11735582730281088,0.0956978549922596,0.021657972310551277,0.5508275005558362,0.4491724994441638,0.8218716980783982,1.3734180571700172,0.3911860910093695,0.3987410624677484,2.1940340306567174,0.17409733327004018,0.47211422894159355,-0.6164755174103074,0.04010735613065051,0.03372272624800948
0,0,27,0.68,0.4,1.08,0.6296296296296297,0.37037037037037035,0.04819777514784014,0.003934887111166984,0.014395702551744759,0.013848499137815235,0.021863929333156593,0.24472694337966094,0.13848499137815234,0.1062419520015086,0.6386203590823086,0.36137964091769137,2.409888757392007,3.5975254765339733,0.7197851275872379,0.6924249568907618,5.853173582551453,0.06481546096806651,0.5129281377834594,-0.9166594612102433,0.19674435555834927,0.014469714301520187
