class,gender,age,onset_duration_positive,onset_duration_negative,onset_duration_full,onset_duration_ratio_positive,onset_duration_ratio_negative,onset_maximum_amplitude,onset_mean_amplitude_full,onset_mean_amplitude_positive,onset_mean_amplitude_negative,onset_std_amplitude,onset_total_amplitude_positive,onset_total_amplitude_negative,onset_net_amplitude,onset_amplitude_ratio_positive,onset_amplitude_ratio_negative,onset_maximum_speed_positive,onset_maximum_speed_negative,onset_mean_speed_positive,onset_mean_speed_negative,onset_maximum_acceleration_positive,onset_maximum_acceleration_negative,onset_mean_acceleration_positive,onset_mean_acceleration_negative,onset_net_amplitude_duration_ratio,onset_left_right_amplitude_difference
1,0,40,0.6,0.48,1.08,0.5555555555555556,0.4444444444444444,0.01470270631001691,-0.00036406045036088377,0.003283192255258064,0.0049231263323845685,0.005119839772214032,0.049247883828870964,0.059077515988614826,-0.009829632159743862,0.454629144335929,0.545370855664071,0.7351353155008455,0.3618982272146687,0.1641596127629032,0.24615631661922846,1.0970335427155142,0.14907123298773667,0.22720434054802519,-0.275245117246206,-0.01820302251804419,0.0007805799310898939
1,0,9,0.28,0.48,0.76,0.3684210526315789,0.631578947368421,0.014204497900259988,-0.00028747403817814296,0.005088741753496788,0.0034235999166551865,0.005572120009191101,0.03562119227447752,0.041083198999862236,-0.005462006725384716,0.4643957364458484,0.5356042635541516,0.7102248950129995,0.37175852060366416,0.2544370876748394,0.1711799958327593,0.8851999100537133,0.3016820475762544,0.3927591228304649,-0.22441378851060875,-0.014373701908907147,0.05254579007334439
1,0,30,0.48,0.68,1.16,0.41379310344827586,0.5862068965517241,0.02257025701206089,-0.0033496277251845443,0.00691590152417237,0.010989957515928782,0.012457485746131017,0.08299081829006844,0.1868292777707893,-0.10383845948072087,0.30757834387305943,0.6924216561269405,1.1285128506030446,1.9029111162756047,0.34579507620861843,0.5494978757964392,1.6303463920256736,0.9618314332300426,0.4807606977090811,-0.5166781181371838,-0.17903182669089807,0.004042854090472072
0,0,47,2.36,2.28,4.64,0.5086206896551724,0.49137931034482757,0.012778274688584057,-7.183575880058238e-05,0.004377846453840237,0.004681428001295494,0.005564528312582792,0.25829294077657394,0.26684139607384316,-0.00854845529726922,0.49186069668521387,0.5081393033147861,0.6389137344292029,0.6480803427011544,0.21889232269201175,0.23407140006477475,1.0326396193867493,0.5024307918416431,0.28700700316303235,-0.3074017096234557,-0.003684679007443629,0.006755427250973487
1,1,14,0.6,0.8,1.4,0.42857142857142855,0.5714285714285714,0.012276993241474049,-7.499351524582342e-05,0.006040268218641239,0.004668939167185702,0.006176231453651252,0.09060402327961858,0.09337878334371405,-0.002774760064095466,0.4924591864994857,0.5075408135005143,0.6138496620737024,0.5384011136417621,0.3020134109320619,0.23344695835928517,1.1342888451358308,0.31676770158375195,0.43081811380954815,-0.3624794593753516,-0.003963942948707809,0.0035408709086897972
1,0,8,1.72,2.12,3.84,0.4479166666666667,0.5520833333333334,0.01993551527715881,2.3406430647995995e-05,0.006697261156626563,0.005389463899436654,0.007461298778796413,0.2879822297349422,0.28564158667014256,0.0023406430647996412,0.5020402247935489,0.49795977520645107,0.9967757638579405,0.9967757638579405,0.33486305783132814,0.26947319497183264,1.356797075218795,0.5139965132597222,0.47019869262998754,-0.4159247906477693,0.0012190849295831464,0.012261259299746252
1,0,24,0.28,0.28,0.56,0.5,0.5,0.08844896308033354,0.003054132603739529,0.026070589534813136,0.019526019669657002,0.03347303892468686,0.18249412674369195,0.13668213768759901,0.04581198905609293,0.5717659709717463,0.4282340290282536,4.422448154016677,2.670831350328756,1.3035294767406567,0.97630098348285,5.318098477192974,0.8577386916540877,1.4322026039379843,-1.4860338982409782,0.1636142466289033,0.06297188639662073
1,1,27,0.4,0.72,1.12,0.35714285714285715,0.6428571428571429,0.013017686355281194,-0.0026814981195867897,0.006041830974289822,0.007527792060629352,0.008631444300890877,0.06041830974289822,0.13550025709132835,-0.07508194734843013,0.3083848086435842,0.6916151913564158,0.6508843177640597,1.0781186405782004,0.3020915487144911,0.3763896030314676,1.6892705386543958,0.7472349117616081,0.6101719875456173,-0.33919477750273225,-0.13407490597933952,0.03952630926727409
1,0,42,0.68,0.76,1.44,0.4722222222222222,0.5277777777777778,0.021349331366282503,-0.0006887153754862997,0.006497626255474637,0.007118599992661874,0.00895642117428279,0.11045964634306883,0.1352533998605756,-0.024793753517506775,0.44954734007701413,0.5504526599229859,1.0674665683141251,0.8221376954530325,0.32488131277373183,0.3559299996330938,1.8741984144893087,0.6316131500325679,0.507343094416049,-0.4510686634850396,-0.034435768774314965,0.05649718439014436
0,0,45,0.84,1.16,2.0,0.42,0.58,0.016138921401521705,-0.0003923505038283953,0.006048922002483535,0.005056720249778414,0.006817692764435976,0.12702736205215423,0.146644887243574,-0.019617525191419766,0.4641587240907623,0.5358412759092378,0.8069460700760853,0.6346641685183896,0.3024461001241767,0.2528360124889207,1.2759213309161201,0.5024891124454103,0.42997971083499675,-0.3257864600806748,-0.019617525191419766,0.0011702544595194554
